City,Name,Latitude,Longitude
Boras,Sobacken,57.68340530213095, 12.932511355588836
Enkoping,Enkoping KVV,59.64532766782523, 17.07335068276123
Eskilstuna,Eskilstuna KVV,59.38149207333199, 16.497443518020937
Falun,Vastermalmsverket 1 ,60.60753672879682, 15.611404519603017
Gallivare,Gallivare KVP3,67.14781371606058, 20.644639153586056
Gavle,Johannes KVV,60.63167111336092, 17.132657627099963
Goteborg,Savenas HP3 ,57.73136971459719, 12.04674275603926
Halmstad,Oceanen P5 ,56.65191466034353, 12.861033875493165
Haninge,Jordbro KVV,59.14734077310166, 18.116841810985957
Hedemora,Hedemora KVV,60.27968446866046, 16.001188537617693
Helsingborg,Vasthamnsverket ,56.02613110251118, 12.68662953388941
Hofors,Hofors KVV,60.55806944848061, 16.25628638813551
Hudiksvall,Djuped KVV,61.724922504315636, 17.079059529600077
Harnosand,Harnosand KVV,62.642749488426716, 17.937243539707232
Jonkoping,Torsvik 2 KVV ,57.74751730696009, 14.188577637887725
Kalmar,Moskogen KVV,56.69639081012084, 16.309941872533987
Karlskrona,Bubbetorp KVV,56.203580849160566, 15.627003897244299
Karlstad,Hedensverket 2 ,59.41869753102392, 13.516707971283456
Katrineholm,PC Vaster,58.996070529742994, 16.18265574965514
Kinna,Assbergsverket,57.49849534780471, 12.698887339048474
Kristianstad,Alloverket 1 ,56.014628120174805, 14.17119895292794
Kungalv,Munkegardsverket,57.87439706105703, 11.938832401208554
Linkoping,Linkoping KVV ,58.3896877233502, 15.634078833679338
Ljungby,Ljungsjo 2 ,56.84162427321944, 13.93355442869451
Lund,ortofta ,55.69491302437466, 13.161602062859036
Landskrona,Energiknuten KVV,55.884298878057706, 12.851098197496897
Lycksele,Skogsbacka,64.60250143052365, 18.66642124121321
Mala,Mala KVV,65.18692252135216, 18.731314696898036
Mariestad,Mariestad KVV 1 ,58.705107212079405, 13.799073583910657
Mjolby,Mjolby KVV,58.33432721512093, 15.140848229479609
Mora,Siljan Timber,60.98778504692577, 14.543626594460868
Motala,Bergsattersverken ,58.55060242984928, 15.020021125853372
Munkfors,Munkfors KVV,59.84107327301423, 13.521964647922744
Molndal,Riskulla,57.63669527696878, 12.045105864559073
Norrtalje,Arstaverket,59.762138487527864, 18.717733768535535
Nykoping,Idbacksverket,58.765627305016636, 17.032556606528065
Nassjo,Nassjo KVV,57.64939887536507, 14.67560778667666
Oskarshamn,Solkustens KVV,57.25406922591746, 16.44310720052065
SalaHeby,Silververket,59.91415524213374, 16.62351757146192
Sandviken,Bjorksatra KVV,60.60665528772128, 16.789738251287506
Skelleftea,Hedensbyn,64.74378391495799, 20.918987421139306
Skovde,Varmekallan Block 4 ,58.4003355787732, 13.880144467738116
Stockholm (North),Bristaverket 1 ,59.60918152892021, 17.86462908991045
Stockholm (South),Vartaverket KVV 8 ,59.353172909354626, 18.10373426112216
Storuman,Biostor,65.1052267449403, 17.11746072167879
Strangnas,Strangnas KVV,59.37592714110657, 17.009375250228366
Sveg,Sveg KVV,62.02765756796384, 14.35690606298884
Sater,Sater KVV,60.3462830954656, 15.713474729693555
Soderhamn,Granskars KVV,61.30552289424016, 17.08296001977274
Sodertalje,Igelsta KVV,59.181268344773, 17.58529316222597
Tidaholm,Eldaren,58.17405079539004, 13.969600265303118
Tranas,Sodra Vakten 2 ,58.029585455076436, 15.00478709538197
Trollhattan,Lextorp KVV,58.31115030036897, 12.265509568965653
Umea,Dava 2 ,63.809155068777315, 20.248428890503547
Vimmerby,Tallholmen,57.661016694932904, 15.86338724241017
Varnamo,Varnamo KVV,57.20256688457722, 13.99378760354647
Vasteras,Vasteras Block 5 ,59.60752638994478, 16.54539187070027
Vaxjo,Sandviksverket 3 ,61.40051877149255, 16.382854119948316
alvsbyn,alvsbyns KVV,65.67509429371162, 20.97565954479772
orebro,abyverket P4 ,59.273814683895004, 15.197980928712903
ornskoldsvik,Horneborgsverket,63.2663500894627, 18.643841181823245
ostersund,Lugnvik KVV,63.15888717608348, 14.642500956180111
